 split:  dp =  -1.03, dl =   1.32, dh =  -2.35,  ACCEPT!
  int2:  dp =  -0.87, dl =  -0.90, dh =   0.03,  ACCEPT!
 phys4:  dp =  -6.07, dl =  -6.07, dh =  -0.00,  ACCEPT!
 split:  dp =  -1.66, dl =   0.14, dh =  -1.80,  ACCEPT!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 phys4:  dp =   2.36, dl =   2.36, dh =  -0.00,  reject!
 phys4:  dp =  -0.07, dl =  -0.07, dh =  -0.00,  ACCEPT!
 split:  dp =   3.53, dl =   0.00, dh =   3.53,  reject!
 phys1:  dp =   8.20, dl =   8.20, dh =  -0.00,  reject!
  int1:  dp =  -0.18, dl =  -0.16, dh =  -0.02,  ACCEPT!
 split:  dp =  -2.44, dl =  -0.65, dh =  -1.79,  ACCEPT!
 phys4:  dp =  -0.01, dl =  -0.01, dh =  -0.00,  ACCEPT!
  int1:  dp =   0.06, dl =  -0.00, dh =   0.07,  ACCEPT!
 phys1:  dp =  -0.01, dl =  -0.01, dh =  -0.00,  ACCEPT!
 split:  dp =  -1.53, dl =   0.00, dh =  -1.53,  ACCEPT!
 merge:  dp =   6.32, dl =   3.95, dh =   2.37,  reject!
 split:  dp =   0.55, dl =  -0.02, dh =   0.57,  ACCEPT!
 split:  dp =  -1.54, dl =   0.81, dh =  -2.35,  ACCEPT!
  int1:  dp =   0.51, dl =   0.58, dh =  -0.06,  reject!
  int2:  dp =   0.11, dl =   0.00, dh =   0.10,  ACCEPT!
 split:  dp =  -4.03, dl =  -2.39, dh =  -1.63,  ACCEPT!
 merge:  dp =   1.92, dl =  -0.00, dh =   1.92,  ACCEPT!
 merge:  dp =   1.20, dl =   0.00, dh =   1.20,  reject!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
  int1:  dp =  -0.46, dl =  -0.47, dh =   0.00,  ACCEPT!
 split:  dp =  -0.39, dl =  -0.00, dh =  -0.39,  ACCEPT!
  int2:  dp =  -0.01, dl =  -0.00, dh =  -0.01,  ACCEPT!
 split:  dp =   2.64, dl =   0.00, dh =   2.64,  reject!
  int2:  dp =   0.08, dl =   0.00, dh =   0.08,  ACCEPT!
 split:  dp =  -0.69, dl =  -0.18, dh =  -0.51,  ACCEPT!
 split:  dp =   3.61, dl =   0.00, dh =   3.61,  reject!
 merge:  dp =   2.17, dl =   0.00, dh =   2.17,  reject!
 merge:  dp =   2.24, dl =   0.00, dh =   2.24,  ACCEPT!
  int2:  dp =   0.08, dl =   0.07, dh =   0.01,  ACCEPT!
 merge:  dp =   0.57, dl =   0.00, dh =   0.57,  ACCEPT!
 split:  dp =   4.35, dl =   3.29, dh =   1.06,  reject!
 merge:  dp =   3.27, dl =   2.41, dh =   0.85,  reject!
 merge:  dp =   1.20, dl =  -0.00, dh =   1.20,  ACCEPT!
 split:  dp =   3.18, dl =   1.98, dh =   1.20,  reject!
 split:  dp =  -1.21, dl =  -0.00, dh =  -1.20,  ACCEPT!
