layers, nll
1, 8430.322755
1, 8430.322755
1, 8430.322755
1, 8430.322755
1, 8430.322755
1, 8430.322755
1, 6294.564881
2, 6743.260551
2, 6743.260551
2, 6743.260551
2, 6558.818309
2, 6558.818309
2, 6108.934169
3, 6695.485173
3, 6390.759037
3, 6303.601373
3, 6303.601373
3, 6729.599898
3, 6528.505405
3, 6528.505405
3, 6528.505405
3, 6604.457245
3, 6589.683281
3, 6589.683281
3, 6534.118049
3, 6530.771419
3, 6530.771419
4, 5523.742098
4, 5567.335741
4, 2260.777224
4, 2273.929115
4, 2273.929115
4, 2273.929115
4, 2532.623020
4, 2532.623020
4, 2521.790768
4, 2521.790768
4, 2521.749883
4, 2521.749883
4, 2521.780812
3, 2711.304544
3, 2711.304544
3, 2706.952490
3, 3046.613518
3, 3045.356527
3, 3045.356527
3, 3045.356527
4, 3044.893176
4, 3046.334504
4, 3046.334504
4, 3396.276177
4, 4081.661807
4, 4229.093219
4, 4229.093219
4, 4226.798448
4, 2704.408491
4, 2704.524267
4, 2704.468091
4, 2704.467495
5, 2486.399811
5, 2451.982245
5, 2451.987298
5, 2451.987298
5, 2451.987298
5, 2190.587867
5, 2186.706089
5, 2250.023524
5, 2250.023524
5, 2250.023524
5, 2250.023524
5, 2396.608462
5, 2396.608462
4, 2396.608462
4, 2396.608462
4, 2396.608462
5, 2396.608462
5, 2396.608462
5, 2396.608462
5, 2328.878850
5, 2328.878850
5, 2328.878850
5, 2328.878850
5, 2409.604788
5, 2409.604788
5, 2409.604788
6, 2236.691076
6, 1586.882649
5, 2576.107583
5, 2576.107583
4, 2575.320175
4, 2575.320175
4, 2575.320175
4, 2414.513812
4, 2223.829377
4, 2223.829377
4, 2223.829377
4, 2223.829377
4, 2223.829377
4, 2223.829377
4, 2223.829377
4, 2324.734711
4, 2489.276562
4, 2544.110186
3, 1901.328932
3, 1901.328932
3, 1894.259434
4, 1918.364647
4, 1918.364647
4, 1918.364647
5, 1221.637406
5, 1193.757816
5, 1193.757816
4, 1173.491948
4, 1173.491948
4, 1166.885850
4, 1166.885850
4, 1166.885850
4, 1106.508139
4, 1017.856978
4, 1017.856978
4, 1017.856978
4, 1017.856978
4, 1000.866329
4, 994.719426
4, 1340.972739
4, 1340.972739
4, 1340.972739
4, 1557.578829
4, 1573.472724
4, 1573.472724
5, 1547.325030
5, 1547.325030
6, 1273.145566
6, 1273.145566
6, 1273.145566
6, 1271.957635
6, 1271.957635
6, 1271.957635
6, 1272.904274
6, 1272.904274
7, 1341.250615
7, 1340.362795
7, 1335.094401
7, 1334.090455
8, 1020.488958
8, 487.391643
8, 487.433498
9, 487.494272
9, 487.494272
9, 487.494272
9, 487.555515
9, 487.555515
9, 487.548974
8, 1095.211885
8, 1095.211885
8, 1094.629858
8, 1094.629858
8, 1094.629858
7, 1094.531901
8, 1016.644406
8, 1016.644406
8, 1016.644406
9, 836.075511
9, 835.923761
9, 797.562276
9, 797.531552
9, 797.531552
9, 797.531552
9, 797.531552
9, 797.933204
9, 797.933204
9, 894.705658
9, 894.705658
9, 894.705658
9, 895.896281
9, 853.941880
9, 852.260908
9, 851.604943
9, 961.775593
9, 965.436216
9, 965.436216
9, 964.704346
9, 2806.308993
9, 2806.308993
8, 2806.308993
7, 3069.112694
7, 3069.112694
8, 2791.951501
9, 2762.870145
9, 2762.870145
9, 2762.870145
9, 2762.870145
9, 2762.237528
9, 2754.101632
9, 2595.343371
9, 2589.886821
9, 2589.886821
9, 2590.593192
9, 2592.749700
9, 2591.513966
8, 2594.868753
7, 2587.671392
7, 2587.671392
7, 2587.064075
7, 2587.064075
7, 2591.913780
8, 2407.290381
8, 2408.059920
8, 2408.059920
8, 2408.050930
8, 3459.827451
8, 3459.827451
8, 3442.190799
8, 3442.099640
8, 3442.099640
8, 3389.054813
8, 3389.054813
8, 3389.054813
8, 3403.366460
7, 2507.683569
8, 2536.847416
8, 2525.480629
8, 2529.259376
8, 1103.775245
8, 1103.775245
7, 1090.292801
7, 1090.292801
8, 1090.292802
8, 1075.346666
8, 1077.293284
9, 1100.383913
9, 1100.383913
9, 1128.088327
8, 1128.088278
8, 1128.088314
8, 1128.059316
8, 1316.723814
8, 1316.723814
8, 1303.936396
8, 1297.339969
8, 1297.339969
8, 1297.339969
9, 1297.339974
9, 1297.339974
10, 1332.020172
9, 1332.020166
9, 1332.020180
9, 1332.147065
9, 1332.147065
9, 1332.147035
8, 1332.147198
8, 1332.136940
8, 1376.719664
8, 1411.537228
9, 1400.004808
9, 1367.457851
9, 1367.458239
9, 1942.616329
9, 1327.181990
10, 1355.419543
10, 1352.575901
10, 1297.096496
10, 1297.096496
11, 1297.096422
11, 1297.096422
11, 1297.096422
11, 1286.764505
10, 1292.323677
10, 1217.790425
10, 1217.790425
10, 1213.934329
10, 1253.294401
10, 1253.294401
10, 1253.294401
11, 1216.259336
11, 1216.738218
11, 1245.068468
11, 1197.062532
10, 1172.137440
11, 1176.899374
11, 1177.311411
11, 1177.311273
11, 1175.631274
11, 1169.486119
11, 1193.872817
11, 1193.872817
11, 1192.627423
11, 1192.627423
11, 1192.069134
11, 1192.144681
11, 1192.039834
10, 1190.270028
10, 1222.127112
10, 1222.127112
9, 1235.015540
9, 1235.015540
9, 1227.412474
