layers, nll
1, 29702.136870
2, 1133.345425
2, 1133.345425
2, 1133.345425
2, 1081.619242
2, 1081.619242
2, 1063.258555
2, 524.301405
2, 592.955100
2, 592.955100
2, 592.955100
2, 608.394433
2, 525.490861
2, 1295.101123
2, 1276.183663
3, 1276.183663
4, 1276.183663
4, 1271.677503
4, 1271.677503
4, 1273.695646
4, 1273.695646
4, 1273.695646
4, 1273.695646
4, 1273.695646
4, 1273.695646
4, 1273.695646
4, 1273.695646
4, 1285.573203
4, 1289.669797
4, 1289.669797
4, 1289.669797
4, 1272.354056
5, 1272.710300
5, 1272.710300
5, 1272.232535
6, 1273.154962
6, 1275.125596
5, 1275.092229
5, 1275.092229
5, 1275.092229
5, 1276.048691
5, 1276.048691
5, 1280.447299
5, 1280.447307
5, 1280.447307
5, 1276.388986
5, 1276.388986
5, 261.553330
5, 261.553330
5, 261.553330
5, 261.553330
5, 261.620377
5, 261.620377
5, 261.620377
5, 257.028756
6, 257.032943
6, 257.032879
6, 257.074872
6, 256.816883
6, 257.080189
6, 257.080189
5, 217.933221
5, 217.933221
5, 217.933221
5, 218.329620
5, 218.329620
5, 218.298003
5, 218.298305
5, 218.298305
5, 218.298300
5, 218.196096
5, 218.196096
6, 218.196099
6, 218.337404
6, 221.081761
6, 221.092492
6, 221.092492
6, 221.092454
5, 221.092454
5, 220.369962
6, 232.444895
6, 232.444895
7, 232.402621
7, 232.442914
7, 232.442914
7, 232.442914
7, 230.498331
7, 231.076108
7, 231.076108
7, 231.140662
7, 231.140492
7, 231.140688
7, 231.160224
7, 226.068267
7, 226.068267
7, 226.068267
8, 226.068267
8, 226.068282
8, 226.079555
8, 226.079555
8, 226.086780
8, 226.086780
8, 226.086780
7, 226.086780
7, 226.086780
7, 226.106638
7, 226.106638
7, 226.106638
7, 226.106638
7, 226.106607
7, 226.106413
7, 226.106413
7, 226.106413
8, 226.192331
8, 226.192331
9, 226.192331
8, 226.192331
8, 330.139726
8, 330.117977
8, 330.110176
8, 330.078643
8, 330.078643
7, 331.285050
7, 331.285050
7, 331.299263
7, 331.299263
7, 331.298323
7, 331.282453
7, 331.282578
6, 331.279966
6, 331.281010
6, 330.996278
5, 330.996334
6, 340.154170
6, 340.154170
6, 340.154170
5, 330.965447
5, 330.965447
5, 330.837856
5, 330.846106
5, 330.908387
4, 330.908322
4, 330.898504
4, 330.663975
4, 330.651536
4, 330.972632
4, 330.964382
4, 330.964382
4, 330.964382
4, 330.964382
4, 330.958385
5, 328.538841
6, 323.988512
7, 323.375279
7, 323.220920
7, 676.387146
8, 676.387189
8, 676.387189
7, 676.552144
7, 678.220154
7, 678.220154
7, 678.220154
7, 678.256959
7, 677.546060
8, 676.139605
8, 676.338365
8, 676.285907
8, 676.285907
8, 677.551836
7, 679.792931
8, 827.862060
8, 827.862060
8, 226.784313
8, 226.728012
9, 226.728012
9, 226.801472
9, 226.801472
9, 227.638030
9, 227.633977
9, 227.633977
9, 227.772334
9, 227.835799
9, 227.259050
9, 227.289594
9, 227.409397
9, 227.409397
9, 227.633485
10, 226.617639
11, 246.426121
11, 246.297391
11, 246.297391
11, 246.297416
11, 245.833938
11, 245.822975
11, 245.822975
12, 245.826486
12, 245.826486
11, 245.470623
10, 245.470623
11, 245.470623
11, 245.470553
12, 245.475837
12, 245.475837
12, 246.551557
12, 246.551557
12, 246.551266
11, 246.548661
11, 246.548661
11, 246.548182
11, 246.548930
11, 246.548930
10, 246.548930
10, 241.197056
10, 241.199336
10, 241.199336
10, 240.155721
10, 825.092107
10, 850.340832
9, 850.237524
9, 850.237524
9, 1337.894424
9, 1337.334848
8, 1324.211193
8, 1324.219743
8, 1323.396778
8, 1323.396778
7, 1323.479665
7, 1323.479665
7, 1323.479665
7, 1323.473943
7, 1321.600578
7, 1321.134289
7, 1321.134289
7, 875.830029
8, 874.326782
8, 874.363483
8, 874.378310
8, 857.378279
8, 857.499578
8, 857.499578
8, 857.499578
8, 857.499578
8, 857.499578
8, 622.232383
8, 622.232383
8, 622.232383
8, 622.232383
8, 622.232383
8, 621.533162
8, 621.533162
8, 621.629498
8, 621.824808
7, 621.995075
7, 621.995075
7, 621.994862
6, 621.994862
6, 622.085280
6, 622.085280
6, 625.134952
6, 625.134952
6, 625.252670
6, 625.216603
6, 625.216603
6, 625.216603
6, 625.216465
6, 625.216465
7, 625.214774
7, 625.214774
7, 625.214774
6, 627.071932
6, 627.071932
6, 627.090990
6, 143.801050
6, 143.801145
6, 145.570550
6, 141.368497
5, 144.018371
5, 144.016592
5, 141.076122
5, 141.076122
5, 141.021178
5, 140.797463
5, 140.797477
4, 137.648633
4, 137.648633
5, 134.543509
5, 134.542850
5, 134.542850
5, 134.259759
5, 927.179205
5, 904.786851
5, 906.035487
5, 906.035487
6, 906.034131
5, 1684.206203
5, 1684.205875
5, 708.505502
5, 708.505502
5, 708.504574
5, 707.463114
5, 707.463114
6, 707.817626
6, 707.817626
6, 707.815025
6, 707.815025
6, 707.815025
6, 707.873425
6, 707.873388
6, 707.651773
6, 707.651773
6, 707.651773
7, 707.651773
7, 725.254767
8, 723.266974
8, 723.267088
8, 723.267088
8, 723.269561
8, 723.269561
9, 723.269691
9, 723.269705
9, 722.810781
9, 1405.854239
9, 1405.852937
10, 1412.612281
10, 1412.612531
10, 1412.612531
10, 1412.612531
10, 1412.612531
9, 1412.571275
9, 1413.599730
